slug,view_count,event,filmed
karen_thompson_walker_what_fear_can_teach_us,1997200,TEDGlobal 2012,2012-06-28
karen_tse_how_to_stop_torture,540005,TEDGlobal 2011,2011-07-13
karim_abouelnaga_a_summer_school_kids_actually_want_to_attend,1071633,TED2017,2017-04-24
karima_bennoune_the_side_of_terrorism_that_doesn_t_make_headlines,1441178,TEDxExeter,2014-03-24
karina_galperin_why_don_t_we_write_words_the_way_pronounce_them,492971,TEDxRiodelaPlata,2015-09-24
karoliina_korppoo_how_a_video_game_might_help_us_build_better_cities,1196853,TED2017,2017-04-24
kartick_satyanarayan_how_we_rescued_the_dancing_bears,419536,TEDIndia 2009,2009-11-06
kary_mullis_next_gen_cure_for_killer_infections,632201,TED2009,2009-02-05
kary_mullis_on_what_scientists_do,540106,TED2002,2002-02-02
kate_adams_4_larger_than_life_lessons_from_soap_operas,1448335,TED@UPS,2016-09-15
kate_hartman_the_art_of_wearable_communication,883553,TED2011,2011-03-02
kate_marvel_can_clouds_buy_us_more_time_to_solve_climate_change,1091395,TED2017,2017-04-24
kate_orff_oysters_as_architecture,325519,TEDWomen 2010,2010-12-08
kate_stafford_how_human_noise_affects_ocean_habitats,1088537,TEDxCERN,2016-11-05
kate_stone_dj_decks_made_of_paper,691348,TED2013,2013-02-27
katherine_fulton_you_are_the_future_of_philanthropy,444992,TED2007,2007-03-10
katherine_kuchenbecker_the_technology_of_touch,277160,TEDYouth 2012,2012-11-17
kathryn_schulz_don_t_regret_regret,1852330,TEDSalon NY2011,2011-11-09
kathryn_schulz_on_being_wrong,4078807,TED2011,2011-03-04
kathy_hull_stories_from_a_home_for_terminally_ill_children,935818,TEDWomen 2016,2016-10-26
katie_bouman_what_does_a_black_hole_look_like,1621932,TEDxBeaconStreet,2016-11-19
katie_hinde_what_we_don_t_know_about_mother_s_milk,1168464,TEDWomen 2016,2016-10-26
katrina_spade_when_i_die_recompose_me,1146044,TEDxOrcasIsland,2016-03-05
kavita_ramdas_radical_women_embracing_tradition,481830,TEDIndia 2009,2009-11-05
kayla_briet_why_do_i_make_art_to_build_time_capsules_for_my_heritage,693087,TED2017,2017-04-24
kees_moeliker_how_a_dead_duck_changed_my_life,1319466,TED2013,2013-02-28
keith_barry_does_brain_magic,13672075,TED2004,2004-02-02
keith_bellows_on_the_camel_s_hump,189247,TED2002,2002-02-02
keith_chen_could_your_language_affect_your_ability_to_save_money,1680185,TEDGlobal 2012,2012-06-23
keith_nolan_deaf_in_the_military,125279,TEDxIslay,2011-04-23
keller_rinaudo_a_mini_robot_powered_by_your_phone,1128184,TED2013,2013-02-26
keller_rinaudo_how_we_re_using_drones_to_deliver_blood_and_save_lives,776071,TEDGlobal 2017,2017-08-27
kelli_anderson_design_to_challenge_reality,310299,TEDxPhoenix,2011-11-11
kelli_jean_drinkwater_enough_with_the_fear_of_fat,1653892,TEDxSydney,2016-05-24
kelli_swazey_life_that_doesn_t_end_with_death,1564408,TEDMED 2013,2013-04-17
kelly_mcgonigal_how_to_make_stress_your_friend,15389720,TEDGlobal 2013,2013-06-11
ken_goldberg_4_lessons_from_robots_about_being_human,366526,TEDxBerkeley,2012-02-04
ken_jennings_watson_jeopardy_and_me_the_obsolete_know_it_all,1175775,TEDxSeattleU,2013-02-10
ken_kamler_medical_miracle_on_everest,730609,TEDMED 2009,2009-10-10
ken_robinson_changing_education_paradigms,1902520,RSA Animate,2010-10-14
ken_robinson_how_to_escape_education_s_death_valley,6944607,TED Talks Education,2013-04-23
ken_robinson_says_schools_kill_creativity,49211088,TED2006,2006-02-25
kenichi_ebina_s_magic_moves,1740166,TED2007,2007-03-03
kenneth_cukier_big_data_is_better_data,1366409,TEDSalon Berlin 2014,2014-06-23
kenneth_lacovara_hunting_for_dinosaurs_showed_me_our_place_in_the_universe,1460432,TED2016,2016-02-16
kenneth_shinozuka_my_simple_invention_designed_to_keep_my_grandfather_safe,1599458,TEDYouth 2014,2014-11-15
kent_larson_brilliant_designs_to_fit_more_people_in_every_city,1076525,TEDxBoston 2012,2012-06-22
keolu_fox_why_genetic_research_must_be_more_diverse,835260,TED2016,2016-02-15
keren_elazari_hackers_the_internet_s_immune_system,2175617,TED2014,2014-03-18
kevin_allocca_why_videos_go_viral,2212153,TEDYouth 2011,2011-11-19
kevin_b_jones_why_curiosity_is_the_key_to_science_and_medicine,911991,TEDxSaltLakeCity,2015-09-19
kevin_bales_how_to_combat_modern_slavery,889743,TED2010,2010-02-12
kevin_breel_confessions_of_a_depressed_comic,3067664,TEDxKids@Ambleside,2013-05-05
kevin_briggs_the_bridge_between_suicide_and_life,2622035,TED2014,2014-03-18
kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution,1469043,TEDSummit,2016-06-29
kevin_kelly_on_how_technology_evolves,1618346,TED2005,2005-02-24
kevin_kelly_on_the_next_5_000_days_of_the_web,1395627,EG 2007,2007-12-12
kevin_kelly_tells_technology_s_epic_story,557671,TEDxAmsterdam,2009-11-20
kevin_rudd_are_china_and_the_us_doomed_to_conflict,1595132,TED2015,2015-03-16
kevin_slavin_how_algorithms_shape_our_world,3738037,TEDGlobal 2011,2011-07-13
kevin_stone_the_bio_future_of_joint_replacement,493690,TED2010,2010-02-11
kevin_surace_fixing_drywall_to_heal_the_planet,357758,TED2009,2009-02-06
khadija_gbla_my_mother_s_strange_definition_of_empowerment,1104959,TEDxCanberra,2014-10-11
khalida_brohi_how_i_work_to_protect_women_from_honor_killings,1160613,TEDGlobal 2014,2014-10-15
kid_president_i_think_we_all_need_a_pep_talk,847291,SoulPancake,2013-01-24
