,slug,view_count,event,filmed
448,thomas_pogge_medicine_for_the_99_percent,244371,TEDxCanberra,2011-09-24
451,thordis_elva_tom_stranger_our_story_of_rape_and_reconciliation,4238215,TEDWomen 2016,2016-10-26
457,tim_birkhead_the_wisdom_of_birds,113202,The Do Lectures,2009-09-18
459,tim_brown_urges_designers_to_think_big,1392056,TEDGlobal 2009,2009-07-22
461,tim_ferriss_why_you_should_define_your_fears_instead_of_your_goals,4125387,TED2017,2017-04-24
462,tim_harford,1775196,TEDGlobal 2011,2011-07-13
463,tim_harford_how_messy_problems_can_inspire_creativity,3040728,TEDGlobal>London,2015-09-29
465,tim_kruger_can_we_stop_climate_change_by_removing_co2_from_the_air,961192,TED2017,2017-04-24
467,tim_leberecht_4_ways_to_build_a_human_company_in_the_age_of_machines,1447264,TEDSummit,2016-06-28
470,timothy_ihrig_what_we_can_do_to_die_well,1306370,TEDxDesMoines,2013-09-08
472,tiq_milan_and_kim_katrin_milan_a_queer_vision_of_love_and_marriage,1249151,TEDWomen 2016,2016-10-27
473,titus_kaphar_can_art_amend_history,1125079,TED2017,2017-04-24
476,tod_machover_and_dan_ellsey_play_new_music,508135,TED2008,2008-03-03
477,todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home,1180802,TEDMED 2015,2015-11-18
480,todd_scott_an_intergalactic_guide_to_using_a_defibrillator,1027655,TEDNYC,2017-01-26
482,tom_gruber_how_ai_can_enhance_our_memory_work_and_social_lives,1501630,TED2017,2017-04-24
483,tom_honey_on_god_and_the_tsunami,626085,TED2005,2005-02-02
484,tom_hulme_what_can_we_learn_from_shortcuts,1463503,TED2016,2016-02-17
486,tom_shannon_s_magnetic_sculpture,1087714,TED2003,2003-02-27
487,tom_shannon_the_painter_and_the_pendulum,438290,TED in the Field,2009-05-05
490,tom_wujec_build_a_tower,4169865,TED2010,2010-02-14
491,tom_wujec_demos_the_13th_century_astrolabe,597252,TEDGlobal 2009,2009-07-23
494,tomas_saraceno_would_you_live_in_a_floating_bubble_in_the_sky,479098,TED2017,2017-04-24
502,torsten_reil_studies_biology_to_make_animation,328834,TED2003,2003-03-03
503,toys_from_the_future,416002,TED2005,2005-02-02
507,trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles,588954,TEDxMontreal,2015-11-07
508,trevor_timm_how_free_is_our_freedom_of_the_press,1299060,TED2016,2016-02-15
509,tricia_wang_the_human_insights_missing_from_big_data,1317373,TEDxCambridge,2016-09-29
510,triona_mcgrath_how_pollution_is_changing_the_ocean_s_chemistry,1204940,TEDxFulbrightDublin,2016-02-06
511,tristan_harris_how_better_tech_could_protect_us_from_distraction,1493985,TEDxBrussels,2014-12-01
512,tristan_harris_the_manipulative_tricks_tech_companies_use_to_capture_your_attention,1802282,TED2017,2017-04-24
517,two_young_scientists_break_down_plastics_with_bacteria,1237538,TED2013,2013-02-28
518,tyler_cowen_be_suspicious_of_stories,342393,TEDxMidAtlantic,2009-11-09
522,uldus_bakhtiozina_portraits_that_transform_people_into_whatever_they_want_to_be,775722,TED2017,2017-04-24
527,usman_riaz_and_preston_reed_a_young_guitarist_meets_his_hero,3706257,TEDGlobal 2012,2012-06-28
529,vanessa_ruiz_the_spellbinding_art_of_human_anatomy,1292631,TEDMED 2015,2015-11-18
530,veerle_provoost_do_kids_think_of_sperm_donors_as_family,1057184,TEDxGhent,2016-06-18
533,victor_rios_help_for_kids_the_education_system_ignores,1214079,TED Talks Live,2015-11-02
534,victoria_pratt_how_judges_can_show_respect,867998,TEDNYC,2016-10-05
537,vik_muniz_makes_art_with_wire_sugar,1177655,TED2003,2003-02-27
539,viktor_frankl_youth_in_search_of_meaning,1053136,Toronto Youth Corps,1972-05-14
540,vilayanur_ramachandran_on_your_mind,4061502,TED2007,2007-03-03
545,vishal_vaid_s_hypnotic_song,418720,TED2006,2006-02-09
547,vusi_mahlasela_s_encore_at_tedglobal2007,427743,TEDGlobal 2007,2007-06-08
548,vusi_mahlasela_sings_thula_mama,548218,TEDGlobal 2007,2007-06-07
550,wade_davis_on_endangered_cultures,2721658,TED2003,2003-02-03
554,wanda_diaz_merced_how_a_blind_astronomer_found_a_way_to_hear_the_stars,820193,TED2016,2016-02-16
555,wanis_kabbaj_what_a_driverless_world_could_look_like,3142782,TED@UPS,2016-09-15
556,wanuri_kahiu_fun_fierce_and_fantastical_african_art,750732,TED2017,2017-04-24
557,washington_wachira_for_the_love_of_birds,770308,TEDGlobal 2017,2017-08-27
559,wendy_chung_autism_what_we_know_and_what_we_don_t_know_yet,2418079,TED2014,2014-03-20
561,wendy_troxel_why_school_should_start_later_for_teens,1421103,TEDxManhattanBeach,2016-11-05
563,what_we_learned_from_5_million_books,1816138,TEDxBoston 2011,2011-07-24
564,will_marshall_teeny_tiny_satellites_that_photograph_the_entire_planet_every_day,1724821,TED2014,2014-03-20
567,will_wright_makes_toys_that_make_worlds,1141107,TED2007,2007-03-03
571,william_kamkwamba_on_building_a_windmill,1652870,TEDGlobal 2007,2007-06-05
572,william_li,4221829,TED2010,2010-02-10
575,william_ury,1896525,TEDxMidwest,2010-10-17
576,willie_smits_restores_a_rainforest,692952,TED2009,2009-02-06
579,woody_norris_invents_amazing_things,1212573,TED2004,2004-02-02
580,xavier_de_kestelier_adventures_of_an_interplanetary_architect,724063,TEDxLeuven,2016-11-17
582,yang_lan,1807072,TEDGlobal 2011,2011-07-13
584,yann_arthus_bertrand_captures_fragile_earth_in_wide_angle,772118,TED2009,2009-02-04
586,yasheng_huang,1009068,TEDGlobal 2011,2011-07-12
591,yossi_vardi_fights_local_warming,951417,TED2007,2007-03-07
593,yuval_noah_harari_nationalism_vs_globalism_the_new_political_divide,1770571,TED Dialogues,2017-02-15
596,yves_behar_s_supercharged_motorcycle_design,560744,TED2009,2009-02-06
601,zainab_salbi,515825,TEDGlobal 2010,2010-07-16
603,zaria_forman_drawings_that_show_the_beauty_and_fragility_of_earth,1153006,TED Talks Live,2015-11-06
607,zeresenay_alemseged_looks_for_humanity_s_roots,936112,TEDGlobal 2007,2007-06-07
609,zeynep_tufekci_machine_intelligence_makes_human_morals_more_important,1318617,TEDSummit,2016-06-29
610,zeynep_tufekci_we_re_building_a_dystopia_just_to_make_people_click_on_ads,1677289,TEDGlobal>NYC,2017-09-20
612,zimchallenge,2223198,TED2011,2011-03-01
614,zubaida_bai_a_simple_birth_kit_for_mothers_in_the_developing_world,858851,TED Residency,2016-12-13
